q,a1,a2,a3,a4,ca,isYear
Какие из перечисленных гор Евразии имеют наибольшую абсолютную высоту?,1) Апеннины,2) Пиренеи,3) Уральские,4) Кавказ,Правильный ответ указан под номером: 4,0
В  каком  из  перечисленных  городов  России  среднегодовое  количество атмосферных осадков ,1) Астрахань,2) Владивосток,3) Москва,4) Калининград,Правильный ответ указан под номером: 1,0
В каком из перечисленных городов России среднегодовое количество атмосферных осадков наименьшее?,1) Астрахань,2) Владивосток,3) Москва,4) Калининград,Правильный ответ указан под номером: 1,0
В какой из перечисленных стран в возрастной структуре населения доля лиц старше 65 лет наибольшая?,1) Бразилия,2) Алжир,3) Бангладеш,4) Норвегия,Правильный ответ указан под номером: 4,0
В какой из перечисленных стран доля детей в возрастной структуре населения наибольшая?,1) Швеция ,2) Япония ,3) Бразилия ,4) Эфиопия,Правильный ответ указан под номером: 4,0
В какой из перечисленных стран доля лиц старше 65 лет в возрастной структуре наибольшая?,1) Мексика ,2) Эфиопия ,3) Норвегия ,4) Бангладеш,Правильный ответ указан под номером: 3,0
На какой из перечисленных территорий имеются действующие вулканы?,1) остров Сахалин,2) Курильские острова,3) острова Новая Земля,4) Чукоткий полуостров,Правильный ответ указан под номером: 2,0
Для какой из перечисленных стран в Евразии характерен сухой тропический климат?,1) Индия,2) Саудовская Аравия,3) Монголия,4) Португалия,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля пожилых людей в общей численности населения наибольшая?,1) Египет,2) Мексика,3) Иран,4) Франция,Правильный ответ указан под номером: 4,0
Какой из перечисленных городов России имеет наибольшую численность населения?,1) Ставрополь,2) Иркутск,3) Оренбург,4) Новосибирск,Правильный ответ указан под номером: 4,0
На каком из перечисленных материков расположены горы Аппалачи? ,1) Африка,2) Евразия,3) Северная Америка,4) Южная Америка,Правильный ответ указан под номером: 3,0
В каком из перечисленных городов России средняя температура воздуха в январе самая низкая?,1) Архангельск,2) Мурманск,3) Тюмень,4) Якутск,Правильный ответ указан под номером: 4,0
В какой из перечисленных стран доля лиц младше 15 лет в общей численности населения наибольшая?,1) Австралия,2) Испания,3) Саудовская Аравия,4) Швейцария,Правильный ответ указан под номером: 3,0
На каком материке расположена наименьшая из самых высоких точек материков?,1) Австралия,2) Африка,3) Евразия,4) Северная Америка,Правильный ответ указан под номером: 1,0
Какой из перечисленных городов расположен в области муссонного климата?,1) Париж,2) Пекин,3) Рим,4) Мурманск,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля лиц младше 15 лет в обшей численности населения наименьшая?,1) Бразилия,2) Бангладеш,3) Египет,4) Германия,Правильный ответ указан под номером: 4,0
В пределах какого из перечисленных климатических поясов в летнее время преобладают тропические воздушные массы?,1) умеренный,2) субтропический,3) субэкваторальный,4) экваториальный,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля лиц старше 65 лет в возрастной структуре населения наибольшая?,1) Алжир,2) Бразилия,3) Дания,4) Таиланд,Правильный ответ указан под номером: 3,0
На каком материке расположены горы Атлас?,1) Австралия,2) Африка,3) Северная Америка,4) Южная Америка,Правильный ответ указан под номером: 2,0
В пределах какого из перечисленных климатических поясов в летнее время преобладают экваториальные воздушные массы?,1) умеренный,2) субтропический,3) тропический,4) субэкваториальный,Правильный ответ указан под номером: 4,0
В какой из перечисленных стран доля лиц младше 15 лет в общей численности населения наибольшая?,1) Кения,2) Бельгия,3) Франция,4) Германия,Правильный ответ указан под номером: 1,0
Какая из перечисленных горных стран Евразии имеет наибольшую высоту?,1) Альпы,2) Алтай,3) Саяны,4) Тянь-Шань,Правильный ответ указан под номером: 4,0
В пределах какого из перечисленных климатических поясов в летнее время преобладают умеренные воздушные массы?,1) арктический,2) субарктический,3) субтропический,4) тропический,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля лиц старше 65 лет в возрастной структуре населения наибольшая?,1) Боливия,2) Великобритания,3) Иран,4) Мозамбик,Правильный ответ указан под номером: 2,0
На территории какого из перечисленных регионов России велика вероятность сильных землетрясений?,1) Республика Коми,2) Республика Дагестан,3) Тюменская область,4) Мурманская область,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля детей и подростков в общей численности населения наибольшая?,1) Австралия,2) Индонезия,3) Испания,4) Япония,Правильный ответ указан под номером: 2,0
На каком материке расположены горы Аппалачи?,1) Африка,2) Австралия,3) Евразия,4) Северная Америка,Правильный ответ указан под номером: 4,0
В какой из перечисленных стран доля пожилых людей в общей численности населения наибольшая?,1) Мексика,2) Бразилия,3) Индия,4) Испания,Правильный ответ указан под номером: 4,0
"Какие географические координаты имеет точка, обозначенная на карте буквой А?",1) 110° с. ш. и 50° в. д.,2) 50° с. ш. и 110° з. д.,3) 50° с. ш. И 110° в. д.,4) 110° с. ш. и 50° з. д.,Правильный ответ указан под номером: 3,0
В каком из перечисленных регионов России существует наибольшая опасность сильных землетрясений,1) Астраханская область,2) Республика Бурятия,3) Мурманская область,4) Республика Коми,Правильный ответ указан под номером: 2,0
Какой из обозначенных на карте городов расположен в области умеренно-континентального климата умеренного климатического пояса?,1) Мурманск,2) Москва,3) Омск,4) Иркутск,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля детей в возрастной структуре населения наибольшая?,1) Дания,2) Намибия,3) Австралия,4) Португалия,Правильный ответ указан под номером: 2,0
Какой из обозначенных на карте городов расположен в области резко континентального климата умеренного климатического пояса?,1) Мурманск,2) Омск,3) Иркутск,4) Хабаровск,Правильный ответ указан под номером: 3,0
В какой из перечисленных стран доля детей в возрастной структуре населения наименьшая?,1) Канада,2) Пакистан,3) Алжир,4) Мьянма,Правильный ответ указан под номером: 1,0
"Для территории какого из перечисленных субъектов РФ характерны формы рельефа, созданные древними оледенениями?",1) Брянская область,2) Ставропольский край,3) Мурманская область,4) Омская область,Правильный ответ указан под номером: 3,0
В какой из перечисленных стран доля детей и подростков в общей численности населения наименьшая?,1) Алжир,2) Нигерия,3) Иран,4) Япония,Правильный ответ указан под номером: 4,0
На территории какой из перечисленных стран имеются действующие вулканы?,1) Италия,2) Германия,3) Египет,4) Монголия,Правильный ответ указан под номером: 1,0
В какой из перечисленных стран доля детей и подростков в общей численности населения наибольшая?,1) Австралия,2) Канада,3) Германия,4) Пакистан,Правильный ответ указан под номером: 4,0
Какие из перечисленных гор Евразии имеют наибольшие абсолютные высоты?,1) Кавказ,2) Скандинавские,3) Уральские,4) Карпаты,Правильный ответ указан под номером: 1,0
В каком из перечисленных городов России средние температуры воздуха в январе наиболее высокие?,1) Екатеринбург,2) Красноярск,3) Мурманск,4) Чита,Правильный ответ указан под номером: 3,0
В какой из перечисленных стран доля детей в общей численности населения наибольшая?,1) Австралия,2) Нигер,3) Польша,4) Италия,Правильный ответ указан под номером: 2,0
Какая из перечисленных горных систем Евразии имеет наибольшую абсолютную высоту?,1) Алтай,2) Альпы,3) Памир,4) Саяны,Правильный ответ указан под номером: 3,0
В какой из перечисленных стран доля пожилых людей в возрастной структуре населения наибольшая?,1) Египет,2) Нигер,3) Турция,4) Италия,Правильный ответ указан под номером: 4,0
На территории какого из перечисленных регионов России велика вероятность сильных землятрясений?,1) Республика Алтай,2) Республика Башкортостан,3) Тюменская область,4) Ненецкий АО,Правильный ответ указан под номером: 1,0
 В какой из перечисленных стран доля детей и подростков в общей численности населения наименьшая?,1) Бангладеш,2) Индонезия,3) Тунис,4) Япония,Правильный ответ указан под номером: 4,0
На территории какого из перечисленных регионов России есть действующие вулканы?,1) Республика Алтай,2) Камчатский край,3) Забайкальский край,4) Кабардино-Балкарская Республика,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля пожилых людей в общей численности населения наибольшая?,1) Алжир,2) Бразилия,3) Дания,4) Тунис,Правильный ответ указан под номером: 3,0
На каком материке расположены горы Атлас?,1) Австралия,2) Северная Америка,3) Африка,4) Южная Америка,Правильный ответ указан под номером: 3,0
В пределах какого из перечисленных климатических поясов в летнее время преобладают экваториальные воздушные массы?,1) умеренный,2) субтропический,3) тропический,4) субэкваторальный,Правильный ответ указан под номером: 4,0
В какой из перечисленных стран доля лиц младше 15 лет в общей численности населения наибольшая?,1) Алжир,2) Канада,3) Италия,4) Россия,Правильный ответ указан под номером: 1,0
В какой из перечисленных стран доля лиц старше 65 лет в возрастной структуре населения наибольшая?,1) Канада,2) Перу,3) Индонезия,4) Нигер,Правильный ответ указан под номером: 1,0
На территории какого из перечисленных регионов России наиболее велика вероятность сильных землетрясений?,1) Республика Коми,2) Забайкальский край,3) Мурманская область,4) Омская область,Правильный ответ указан под номером: 2,0
Для какого климатического пояса на западных побережьях материков характерно наличие областей пустынного климата?,1) экваториального,2) тропического,3) субэкваториального,4) субтропического,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля детей и подростков в общей численности населения наибольшая?,1) Австралия,2) Украина,3) Индия,4) Япония,Правильный ответ указан под номером: 3,0
"Для какой из перечисленных стран характерна структура ВВП, показанная на диаграмме?",1) Лаос,2) Канада,3) Испания,4) Швейцария,Правильный ответ указан под номером: 1,0
На территории какого из перечисленных регионов России наиболее велика вероятность сильных землетрясений?,1) Республика Бурятия,2) Удмуртская республика,3) Новосибирская область,4) Ростовская область,Правильный ответ указан под номером: 1,0
Для какого из перечисленных регионов России характерен муссонный тип климата?,1) Краснодарский край,2) Приморский край,3) Мурманская область,4) Калининградская область,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля пожилых людей в общей численности населения наибольшая?,1) Египет,2) Бразилия,3) Германия,4) Индия,Правильный ответ указан под номером: 3,0
На каком из перечисленных островов часто происходят сильные землетрясения?,1) Мадагаскар,2) Ирландия,3) Тасмания,4) Хонсю,Правильный ответ указан под номером: 4,0
В каком из перечисленных городов России зимы наиболее холодные?,1) Петрозаводск,2) Верхоянск,3) Екатеринбург,4) Омск,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля лиц старше 65 лет в возрастной структуре населения наименьшая?,1) Египет,2) Республика Корея,3) Швеция,4) Испания,Правильный ответ указан под номером: 1,0
В Северной Америке сильные землетрясения наиболее вероятны на,1) полуострове Лабрадор,2) полуострове Калифорния,3) островах Канадского Арктического архипелага,4) острове Ньюфаундленд,Правильный ответ указан под номером: 2,0
В каком из перечисленных городов России зимы наиболее холодные?,1) Челябинск,2) Южно-Сахалинск,3) Якутск,4) Мурманск,Правильный ответ указан под номером: 3,0
В какой из перечисленных стран доля лиц старше 65 лет в возрастной структуре населения наибольшая?,1) Эфиопия,2) Франция,3) Лаос,4) Индонезия,Правильный ответ указан под номером: 2,0
В какой части света расположены горы Аппалачи?,1) в Африке,2) в Австралии,3) в Азии,4) в Америке,Правильный ответ указан под номером: 4,0
В какой из перечисленных стран доля лиц старше 65 лет в возрастной структуре населения наибольшая?,1) Франция,2) Афганистан,3) Лаос,4) Боливия,Правильный ответ указан под номером: 1,0
Точка с наименьшей абсолютной высотой на территории России находится на побережье,1) Баренцева моря,2) Ладожского озера,3) озера Байкал,4) Каспийского моря,Правильный ответ указан под номером: 4,0
Какой из перечисленных городов России расположен в области муссонного климата умеренного климатического пояса?,1) Калининград,2) Владивосток,3) Мурманск,4) Астрахань,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля лиц старше 65 лет в возрастной структуре населения наибольшая?,1) Дания,2) Мьянма,3) Ливия,4) Чили,Правильный ответ указан под номером: 1,0
"Переживаемая и осознаваемая человеком нужда в том, что необходимо для поддержания организма человека и развития его личности, называется",потребностью,регулятором,ценностью,деятельностью,1,0
К материальным потребностям не относится потребность в,пище,жилище,общественном признании,одежде,3,0
"Общее количество товара, которое потребители желают, готовы и имеют возможность приобрести по определённой цене, называется",спросом,предложением,капиталом,рынком,1,0
В XX веке возник новый фактор производства,нанотехнологии,приватизация,космические технологии,информация,4,0
"Количество денег (или других товаров и услуг), уплачиваемое и получаемое за единицу товара или услуги, называется",спросом,предложением,ценой,прибылью,3,0
К экономическим благам относят,воздух,мебель,солнечный свет,морскую воду,2,0
К средствам производства относят,продукты питания,транспорт,жилое помещение,одежду,2,0
Макроэкономика изучает,экономику семьи,экономику фирмы,"экономику рынков, товаров и услуг",общеэкономические процессы,4,0
Один из главных вопросов экономики,где производить?,кто производит?,как производить?,зачем производить?,3,0
Автор выражения «невидимая рука рынка»,К. Маркс,Б. Шоу,Д. Рикардо,А. Смит,4,0
Не относится к основным вопросам экономики вопрос,что производить?,как производить?,для кого производить?,где производить?,4,0
"Для традиционной системы экономики характерно, что государство",не вмешивается в экономические отношения,полностью контролирует экономику,обеспечивает в рамках права экономический порядок,"жёстко регулирует производство, обмен и распределение продукции",4,0
"Экономическую систему, в которой обычаи определяют практику использования ограниченных ресурсов, называют",традиционной,рыночной,командной,административной,1,0
Основу рыночной системы экономики составляет собственность на средства производства,частная,личная,коллективная,государственная,1,0
"Экономическая система, в которой экономические решения принимаются государством, выступающим организатором хозяйственной деятельности общества, называется",рыночной,командной,традиционной,государственной,3,0
"Способ организации хозяйственной жизни, основанный на многообразии форм собственности, предпринимательстве и конкуренции, называется экономикой",традиционной,рыночной,командной,смешанной,2,0
"Тип рынка, который определяет цены, а продавцы и покупатели вынуждены принимать их как данное, называется",конкурентным,несовершенным,централизованным,плановым,1,0
К признакам рынка не относится,нерегулируемое предложение,нерегулируемый спрос,нерегулируемая цена,нерегулируемое налогообложение,4,0
В условиях рыночной экономики по мере увеличения цены объём спроса,увеличивается,уменьшается,остается прежним,регулируется государством,2,0
Какое положение из перечисленных не является признаком рыночной экономики?,господствующее положение занимает частная собственность,"принятие решений по тому, в какой области должны быть применены имеющиеся ресурсы, происходит децентрализовано, предпринимателю гарантируется свобода деятельности",государство вмешивается в экономику в минимальной степени и только с помощью правовых норм,главным механизмом экономики является регулирование цен,4,0
Соперничество между продавцами и покупателями за право наилучшего применения имеющихся у них экономических ресурсов называется,кооперацией,конкуренцией,корпорацией,монополией,2,0
Излишек выручки от продажи товара над затратами на их производство называется,себестоимостью,прибылью,ценой,акцией,2,0
Создание разных видов экономических продуктов — это,производство,обмен,распределение,потребление,1,0
"Компоненты природной среды, которые используются или могут быть использованы при осуществлении хозяйственной деятельности в качестве источников энергии, продуктов производства и предметов потребления и имеют потребительскую ценность, называются",загрязняющими веществами,природными комплексами,природными ресурсами,природными ландшафтами,3,0
"Производство, в котором всё исходное сырье в конечном счёте превращается в ту или иную продукцию, называется",безотходным,нерентабельным,технологическим,бессырьевым,1,0
Доход от продажи товаров за вычетом издержек производства называется,капиталом,прибылью,рентой,субсидией,2,0
"Производство — это соединение трёх факторов. Выделите фактор, который не входит в их число",природные ресурсы,государство,капитал,труд,2,0
"К отраслям экономики, производящим услуги, относится",строительство,рыболовство,лёгкая промышленность,транспорт,4,0
"К отраслям экономики, производящим материальные блага, относится",образование,торговля,сельское хозяйство,телекоммуникационная связь,3,0
"Экономическая деятельность, приносящая удовлетворение личных потребностей населения и общества в целом называется",средствами производства,предметами потребления,услугами,товаром,3,0
"Юридические лица, являющиеся некоммерческими организациями, могут создаваться в форме",товариществ и обществ,потребительских кооперативов,производственных кооперативов,государственных и муниципальных унитарных предприятий,2,0
"Юридические лица, являющиеся коммерческими организациями, могут создаваться в форме",потребительских кооперативов,товариществ и обществ,общественных организаций,благотворительных и иных фондов,2,0
Коммерческие организации с разделённым на доли (вклады) учредителей (участников) уставным (складочным) капиталом называются,хозяйственными товариществами и обществами,акционерными обществами,малыми предприятиями,производственными кооперативами,1,0
Высшим органом управления акционерным обществом является,совет директоров,собрание трудового коллектива,президиум,общее собрание акционеров,4,0
"Цена за труд, измеряемая, как правило, в единицу времени — неделю или месяц, называется",доходом,сбережениями,налоговым вычетом,заработной платой,4,0
Все виды хозяйственной деятельности людей для удовлетворения их потребностей и обеспечения материальных условий жизни называются,материальным производством,экономической деятельностью,духовным производством,творческой деятельностью,2,0
Расходы населения на товары и услуги называются,потреблением,производством,налогообложением,прожиточным минимумом,1,0
Соперничество между продавцами и покупателями за право наилучшего применения имеющихся у них экономических ресурсов называется,кооперацией,конкуренцией,корпорацией,монополией,2,0
Предприятия в структуре экономики выполняют функции,производства,распределения,обмена,потребления,1,0
"Определённая сумма денег, которую каждому производителю товара, получателю дохода, владельцу имущества необходимо уплатить государству, называется",спросом,бюджетом,налогом,дефицитом,3,0
"Стоимость минимума средств, необходимых для поддержания жизнедеятельности человека, называется",доходом,сбережениями,прожиточным минимумом,потребительской корзиной,3,0
Перечень необходимых продуктов питания и непродовольственных товаров и услуг называется,ассортиментом,номенклатурой товаров и услуг,прожиточным минимумом,потребительской корзиной,4,0
Органы государственной власти в структуре экономики выполняют функции,производства,распределения,обмена,потребления,2,0
"Ситуация, при которой необходимые расходы государства оказываются больше возможных доходов, называется",профицитом бюджета,дефицитом бюджета,инфляцией,конкуренцией,2,0
"Ситуация, при которой доходы государственного бюджета меньше предполагаемых расходов, называется",положительным сальдо,профицитом бюджета,дефицитом бюджета,сбалансированным бюджетом,3,0
В бюджетную систему Российской Федерации не входит,федеральный бюджет РФ,бюджеты субъектов РФ,бюджеты муниципальных образований,бюджеты акционерных предприятий,4,0
Государственный бюджет Российской Федерации принимается,Президентом РФ,Правительством РФ,Федеральным Собранием РФ,министром финансов,3,0
"Ситуация, при которой в государственном бюджете доходы примерно равны расходам, называется",положительным сальдо,профицитом,дефицитом,сбалансированным бюджетом,4,0
Совокупность экономических отношений в процессе использования денежных средств называется,налоговой системой,финансами,бюджетом,инвестициями,2,0
"Финансовым учреждением, которое занимается привлечением свободных денег и последующим их предоставлением в кредит, является",казначейство,министерство финансов,ссудная касса,банк,4,0
"Выпуск денежных знаков, являющихся национальной валютой, называется",валютным контролем,валютным контролем,инвестицией,ремиссией,2,0
"Финансово-кредитный институт, собирающий денежные средства частных инвесторов через продажу им собственных ценных бумаг, называется",пенсионным фондом,коммерческим банком,инвестиционной компанией,центральным банком,3,0
К активным операциям банка относится,предоставление краткосрочного кредита,приём вкладов,выпуск собственных ценных бумаг,получение кредита центрального банка,1,0
На продаже и покупке ценных бумаг специализируются,фондовые биржи,коммерческие банки,страховые компании,инвестиционные компании,1,0
Процесс обесценивания денег называется,эмиссией,инфляцией,капитализацией,инвестицией,2,0
 К комплексу антиинфляционных мероприятий государства не относится,дополнительная денежная эмиссия,стимулирование производства,совершенствование налоговой системы,принятие мер по регулированию цен и доходов,1,0
Инфляция предложения возникает как следствие,понижения издержек на единицу продукции,превышения спроса над предложением,повышения издержек на единицу продукции,превышения роста доходов населения над реальным объёмом товаров и услуг,3,0
Умение управлять финансами называется финансовым,маркетингом,кадастром,инвестированием,менеджментом,4,0
"Время добровольного поиска работником нового места работы, которое устраивает его в большей степени, нежели прежнее рабочее место, называется безработицей.",структурной,фрикционной,циклической,сезонной,2,0
"Безработица, которая возникает в результате технического прогресса, сокращающего спрос на работников одних профессий и увеличивающего спрос на работников других профессий, называется",структурной,фрикционной,циклической,сезонной,1,0
"Безработица, которая вызывается повторяющимися спадами производства в стране или регионе, называется",структурной,фрикционной,циклической,сезонной,3,0
Ввоз товаров из-за границы для реализации их на внутреннем рынке называется,иммиграцией,экспортом,импортом,эмиграцией,3,0
"Вывоз за границу товаров, произведённых отраслями отечественной экономики, называется",иммиграцией,экспортом,импортом,эмиграцией,2,0
"Государственная экономическая политика, сутью которой является защита отечественных производителей товаров от конкуренции со стороны фирм других стран с помощью установления различного рода ограничений на импорт, называется",протекционизмом,монополизмом,меркантилизмом,олигополией,1,0
"Налог в пользу государства, взимаемый при пересечении границы с владельца товара иностранного производства, ввозимого в страну для продажи, называется",налогом на добавленную стоимость,подоходным налогом,налогом на собственность,таможенной пошлиной,4,0
Официальное снижение государством курса обмена своих денежных знаков на валюты других стран называется,девальвацией,ревальвацией,меркантилизмом,протекционизмом,1,0
"В результате девальвации, как правило, экспорт товаров",увеличивается,уменьшается,остается неизменным,прекращается,1,0
"В результате девальвации, как правило, спрос на отечественные товары внутри страны",повышается,уменьшается,остается неизменным,прекращается,1,0
"В результате девальвации, как правило, цены на импортные товары",повышаются,уменьшаются,остаются неизменными,не зависят от девальвации,1,0
"В результате девальвации, как правило, реальная покупательская способность населения",повышается,уменьшается,остается неизменным,не зависит от девальвации,2,0
Впервые установил закономерную связь между доходами населения и структурой потребления немецкий исследователь,Ф. Энгельс,Э. Энгель,Л. Дюги,О. Конт,2,0
"Особым видом экономических отношений, призванных обеспечить защиту людей и их дел от различного рода опасностей является",инвестирование,финансирование,страхование,капитализация,3,0
"Вид страхования, где в качестве страхового случая предусматривается внешняя причина, как правило, кратковременного воздействия, приведшая к временной или постоянной потере трудоспособности или смерти застрахованного называется",страхованием от несчастного случая,медицинским страхованием,страхованием жизни,смешанным страхованием,1,0
